"","dioceses","year","nexus"
"352","Dubuque","2011",0
"353","Dubuque","2012",0
"354","Dubuque","2013",0
"355","Dubuque","2014",0
"356","Dubuque","2015",0
"357","Dubuque","2016",0
"358","Dubuque","2017",0
"359","Dubuque","2018",0
"360","Dubuque","2019",0
"361","Louisville","1990",0
"362","Louisville","1991",0
"363","Louisville","1992",0
"364","Louisville","1993",0
"365","Louisville","1994",0
"366","Louisville","1995",0
"367","Louisville","1996",0
"368","Louisville","1997",0
"369","Louisville","1998",0
"370","Louisville","1999",0
"371","Louisville","2000",0
"372","Louisville","2001",0
"373","Louisville","2002",17
"374","Louisville","2003",11
"375","Louisville","2004",3
"376","Louisville","2005",1
"377","Louisville","2006",11
"378","Louisville","2007",4
"379","Louisville","2008",6
"380","Louisville","2009",2
"381","Louisville","2010",14
"382","Louisville","2011",1
"383","Louisville","2012",0
"384","Louisville","2013",0
"385","Louisville","2014",2
"386","Louisville","2015",0
"387","Louisville","2016",0
"388","Louisville","2017",0
"389","Louisville","2018",1
"390","Louisville","2019",0
"391","New Orleans","1990",1
"392","New Orleans","1991",0
"393","New Orleans","1992",0
"394","New Orleans","1993",0
"395","New Orleans","1994",0
"396","New Orleans","1995",0
"397","New Orleans","1996",0
"398","New Orleans","1997",0
"399","New Orleans","1998",0
"400","New Orleans","1999",0
"401","New Orleans","2000",0
"402","New Orleans","2001",0
"403","New Orleans","2002",21
"404","New Orleans","2003",4
"405","New Orleans","2004",59
"406","New Orleans","2005",0
"407","New Orleans","2006",0
"408","New Orleans","2007",3
"409","New Orleans","2008",7
"410","New Orleans","2009",3
"411","New Orleans","2010",2
"412","New Orleans","2011",2
"413","New Orleans","2012",2
"414","New Orleans","2013",0
"415","New Orleans","2014",0
"416","New Orleans","2015",0
"417","New Orleans","2016",0
"418","New Orleans","2017",0
"419","New Orleans","2018",1
"420","New Orleans","2019",8
"421","Baltimore","1990",0
"422","Baltimore","1991",0
"423","Baltimore","1992",0
"424","Baltimore","1993",1
"425","Baltimore","1994",0
"426","Baltimore","1995",0
"427","Baltimore","1996",0
"428","Baltimore","1997",1
"429","Baltimore","1998",0
"430","Baltimore","1999",0
"431","Baltimore","2000",0
"432","Baltimore","2001",0
"433","Baltimore","2002",9
"434","Baltimore","2003",4
"435","Baltimore","2004",1
"436","Baltimore","2005",2
"437","Baltimore","2006",5
"438","Baltimore","2007",10
"439","Baltimore","2008",6
"440","Baltimore","2009",2
"441","Baltimore","2010",1
"442","Baltimore","2011",3
"443","Baltimore","2012",1
"444","Baltimore","2013",0
"445","Baltimore","2014",0
"446","Baltimore","2015",0
"447","Baltimore","2016",1
"448","Baltimore","2017",0
"449","Baltimore","2018",8
"450","Baltimore","2019",26
"451","Washington","1990",1
"452","Washington","1991",0
"453","Washington","1992",0
"454","Washington","1993",4
"455","Washington","1994",0
"456","Washington","1995",1
"457","Washington","1996",0
"458","Washington","1997",0
"459","Washington","1998",338
"460","Washington","1999",0
"461","Washington","2000",1
"462","Washington","2001",4
"463","Washington","2002",25
"464","Washington","2003",15
"465","Washington","2004",18
"466","Washington","2005",6
"467","Washington","2006",13
"468","Washington","2007",15
"469","Washington","2008",23
"470","Washington","2009",10
"471","Washington","2010",11
"472","Washington","2011",9
"473","Washington","2012",9
"474","Washington","2013",4
"475","Washington","2014",5
"476","Washington","2015",13
"477","Washington","2016",1
"478","Washington","2017",6
"479","Washington","2018",49
"480","Washington","2019",66
"481","Boston","1990",1
"482","Boston","1991",0
"483","Boston","1992",0
"484","Boston","1993",4
"485","Boston","1994",0
"486","Boston","1995",1
"487","Boston","1996",0
"488","Boston","1997",0
"489","Boston","1998",0
"490","Boston","1999",0
"491","Boston","2000",0
"492","Boston","2001",3
"493","Boston","2002",101
"494","Boston","2003",67
"495","Boston","2004",12
"496","Boston","2005",24
"497","Boston","2006",15
"498","Boston","2007",21
"499","Boston","2008",31
"500","Boston","2009",6
"501","Boston","2010",38
"502","Boston","2011",25
"503","Boston","2012",9
"504","Boston","2013",15
"505","Boston","2014",2
"506","Boston","2015",6
"507","Boston","2016",4
"508","Boston","2017",9
"509","Boston","2018",31
"510","Boston","2019",9
"511","Detroit","1990",1
"512","Detroit","1991",0
"513","Detroit","1992",0
"514","Detroit","1993",1
"515","Detroit","1994",0
"516","Detroit","1995",0
"517","Detroit","1996",0
"518","Detroit","1997",0
"519","Detroit","1998",0
"520","Detroit","1999",0
"521","Detroit","2000",0
"522","Detroit","2001",0
"523","Detroit","2002",4
"524","Detroit","2003",5
"525","Detroit","2004",0
"526","Detroit","2005",2
"527","Detroit","2006",4
"528","Detroit","2007",7
"529","Detroit","2008",4
"530","Detroit","2009",7
"531","Detroit","2010",14
"532","Detroit","2011",4
"533","Detroit","2012",4
"534","Detroit","2013",0
"535","Detroit","2014",0
"536","Detroit","2015",0
"537","Detroit","2016",0
"538","Detroit","2017",0
"539","Detroit","2018",3
"540","Detroit","2019",14
"541","St. Paul and Minneapolis","1990",0
"542","St. Paul and Minneapolis","1991",0
"543","St. Paul and Minneapolis","1992",0
"544","St. Paul and Minneapolis","1993",0
"545","St. Paul and Minneapolis","1994",0
"546","St. Paul and Minneapolis","1995",0
